show_id,imdb_title_id,title,genre,duration_imdb,director,actors,release_year,rating,description_net,description_imdb,country_imdb,language,date_added,avg_vote,votes
80128722,tt3748172,Gerald's Game,"Drama, Horror, Thriller",103,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Chiara Aurelia, Carel Struycken, Henry Thomas, Kate Siegel, Adalyn Jones, Bryce Harper, Gwendolyn Mulamba, James Flanagan, Dori Lumpkin, Natalie Roers, Nikia Reynolds, Bill Riales, Chuck Borden",2017,TV-MA,"When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.","A couple tries to spice up their marriage in a remote lake house; after the husband dies unexpectedly, the wife is left handcuffed to their bed frame and must fight to survive and break free.",USA,English,2017-09-29,6.6,72597
80104068,tt5034266,Our Souls at Night,"Drama, Romance",103,Ritesh Batra,"Judy Greer, Jane Fonda, Robert Redford, Matthias Schoenaerts, Bruce Dern, Iain Armitage, Phyllis Somerville, Anthoula Katsimatides, Audrey Walters, Reed Horstmann, Hawley Penfold, Blanca Camacho, Michael Love Toliver, Leana Lewis, Kathleen Timberman",2017,TV-14,"After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.","Fonda and Redford star as Addie Moore and Louis Waters, a widow and widower who've lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbor.",USA,English,2017-09-29,6.9,9194
80200087,tt3282076,Domino,"Crime, Thriller",89,Brian De Palma,"Nikolaj Coster-Waldau, Søren Malling, Sus Wilkins, Paprika Steen, Helena Kaittani, Eriq Ebouaney, Guy Pearce, Thomas W. Gabrielsson, Carice van Houten, Esben Dalgaard Andersen, Jacob Lohmann, Ilias Addab, Mohammed Azaay, Emrin Dalgic, Morten Holst",2019,R,"A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",A Copenhagen police officer seeks justice for his partner's murder by a mysterious man.,"Denmark, France, Italy, Belgium, Netherlands",English,2019-09-28,4.4,2470
80157072,tt5057140,Hold the Dark,"Drama, Horror, Mystery",125,Jeremy Saulnier,"Beckam Crawford, Riley Keough, Jeffrey Wright, Michael Tayles, Issac Bird, Joseph Whitebird, Zandus Snow, Julian Black Antelope, Alexander Skarsgård, Conor Boru, Anabel Kutay, Emmanuel Imani, Tantoo Cardinal, Clarence Hoof, Savannah Bird",2018,TV-MA,"In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.","After the deaths of three children suspected to be killed by wolves, writer Russell Core is hired by the parents of a missing six-year-old boy to track down and locate their son in the Alaskan wilderness.",USA,English,2018-09-28,5.6,28760
81002864,tt5169582,Single,Comedy,127,Raditya Dika,"Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabita, Frederick Alexander, Tinna Harahap, Rina Hasyim, Dede Yusuf, Dewi Hughes, Elvira Devinamira, Pevita Pearce",2015,TV-PG,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.",A single men desperately looking for a girl that brings him into an unforgettable journey,Indonesia,Indonesian,2018-09-28,6.8,579
80231903,tt8110640,In the Shadow of the Moon,"Crime, Mystery, Sci-Fi",115,Jim Mickle,"Boyd Holbrook, Cleopatra Coleman, Bokeem Woodbine, Michael C. Hall, Rudi Dharmalingam, Al Maini, Quincy Kirkwood, Sarah Dugdale, Rachel Keller, Ryan Allen, Tony Nappo, Philippa Domville, Tony Craig, Gabrielle Graham, Julia Knope",2019,TV-MA,A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.,A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.,USA,English,2019-09-27,6.2,23354
80060037,tt4685750,Much Loved,Drama,104,Nabil Ayouch,"Loubna Abidar, Asmaa Lazrak, Halima Karaouane, Sara Elhamdi Elalaoui, Abdellah Didane, Danny Boushebel, Carlo Brandt, Ennaamane El Haulaili, Amine Ennaji, Yousuf Al Idrissi, Muhammad Amine Jadil, Aytl Jensen, Camélia Montassere, Mohamed Rezqi, Zainab",2015,TV-MA,Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.,A group of women in Morocco make a living as prostitutes in a culture that is very unforgiving toward women in that profession.,"France, Morocco","Arabic, French",2017-09-27,6.2,1968
81177238,tt10305616,Malaal,"Action, Drama, Romance",153,Mangesh Hadawale,"Meezaan Jafri, Sharmin Segal, Badri Chavan, Komal Chhabria, Chetan Chitnis, Deepak Damle, Sameer Dharmadhikari, Anil Gawas, Sanjay Gurbaxani, Sonal Jha, Radha Sagar, Ishwak Singh, Chinmayee Surve, Sunil Tawde",2019,TV-14,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl.","Malaal is the story of Shiva and Astha, two very different people from contrasting backgrounds who experience the innocence of love. Does their love find its destination or do they part ways? Stay on this journey to find out.",India,Hindi,2019-09-26,5.6,445
80215923,tt5360952,The Hurricane Heist,"Action, Adventure, Crime",103,Rob Cohen,"Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona, Ben Cross, Jamie Andrew Cutler, Christian Contreras, Jimmy Walker, Ed Birch, Moyo Akandé, James Barriscale, Erik Rondell, Mark Basnight, Keith D. Evans",2018,PG-13,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.,Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.,USA,"American Sign Language, English",2018-09-26,5.1,16519
80108976,tt2032572,USS Indianapolis: Men of Courage,"Action, Drama, History",128,Mario Van Peebles,"Nicolas Cage, Tom Sizemore, Thomas Jane, Matt Lanter, James Remar, Brian Presley, Yutaka Takeuchi, Johnny Wactor, Adam Scott Miller, Cody Walker, Callard Harris, Craig Tate, Joey Capone, Emily Tennant, Shamar Sanders",2016,R,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks.","During World War II, an American navy ship is sunk by a Japanese submarine leaving 890 crewmen stranded in shark infested waters.",USA,English,2019-09-25,5.2,9991
